Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
11,[b'ORIOL NIUBO TORRAS'],1 Mitjana,5.0,11.2,0.8,0.4,0.6,0.67,0.0,0.4,0.0,0.0,0.0,0.0,1.6,0.4,0.4,0.0,0.4,0.8,40.0,4.41,-0.38
11,[b'ORIOL NIUBO TORRAS'],2 Derrota,3.0,10.33,0.67,0.33,0.67,0.5,0.0,0.67,0.0,0.0,0.0,0.0,2.0,0.25,0.25,0.0,0.5,0.5,25.0,6.49,-0.93
11,[b'ORIOL NIUBO TORRAS'],2 Victoria,2.0,12.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,100.0,1.92,0.45
11,[b'ORIOL NIUBO TORRAS'],3 Local,2.0,8.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,6.37,-1.1
11,[b'ORIOL NIUBO TORRAS'],3 Visitant,3.0,13.33,1.33,0.67,0.67,1.0,0.0,0.33,0.0,0.0,0.0,0.0,2.0,0.67,0.67,0.0,0.33,1.33,66.67,3.63,0.1
11,[b'ORIOL NIUBO TORRAS'],4 Banqueta,5.0,11.2,0.8,0.4,0.6,0.67,0.0,0.4,0.0,0.0,0.0,0.0,1.6,0.4,0.4,0.0,0.4,0.8,40.0,4.41,-0.38
11,[b'ORIOL NIUBO TORRAS'],5 Dificil,3.0,9.0,0.67,0.33,0.67,0.5,0.0,0.33,0.0,0.0,0.0,0.0,1.0,0.33,0.33,0.0,0.33,0.67,33.33,5.53,-0.3
11,[b'ORIOL NIUBO TORRAS'],5 Facil,2.0,14.5,1.0,0.5,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,2.5,0.5,0.5,0.0,0.5,1.0,50.0,3.37,-0.5
13,[b'POL TERUEL FERRAN'],1 Mitjana,4.0,20.75,5.0,0.75,3.25,0.23,0.5,2.25,0.22,2.0,3.5,0.57,1.25,0.27,0.36,9.09,0.41,0.55,34.68,16.74,0.55
13,[b'POL TERUEL FERRAN'],2 Derrota,2.0,23.0,5.0,1.5,4.5,0.33,0.0,1.5,0.0,2.0,4.0,0.5,1.0,0.25,0.32,16.66,0.25,0.5,35.53,17.09,0.2
13,[b'POL TERUEL FERRAN'],2 Victoria,2.0,18.5,5.0,0.0,2.0,0.0,1.0,3.0,0.33,2.0,3.0,0.67,1.5,0.3,0.4,20.0,0.6,0.6,33.33,16.44,0.9
13,[b'POL TERUEL FERRAN'],3 Local,1.0,27.0,8.0,2.0,5.0,0.4,0.0,1.0,0.0,4.0,6.0,0.67,2.0,0.33,0.46,66.67,0.17,0.67,49.21,16.78,3.0
13,[b'POL TERUEL FERRAN'],3 Visitant,3.0,18.67,4.0,0.33,2.67,0.12,0.67,2.67,0.25,1.33,2.67,0.5,1.0,0.25,0.31,8.33,0.5,0.5,28.12,16.87,-0.27
13,[b'POL TERUEL FERRAN'],4 Banqueta,4.0,20.75,5.0,0.75,3.25,0.23,0.5,2.25,0.22,2.0,3.5,0.57,1.25,0.27,0.36,9.09,0.41,0.55,34.68,16.74,0.55
13,[b'POL TERUEL FERRAN'],5 Dificil,2.0,25.5,9.0,1.0,3.0,0.33,1.0,3.0,0.33,4.0,6.0,0.67,2.0,0.42,0.52,33.34,0.5,0.83,49.21,16.9,4.0
13,[b'POL TERUEL FERRAN'],5 Facil,2.0,16.0,1.0,0.5,3.5,0.14,0.0,1.5,0.0,0.0,1.0,0.0,0.5,0.1,0.09,0.0,0.3,0.2,9.26,16.6,-2.9
14,[b'GUILLEM PREZ LAYUNTA'],1 Mitjana,5.0,23.6,7.0,2.6,7.0,0.37,0.2,1.0,0.2,1.2,3.2,0.38,2.6,0.36,0.37,3.0,0.12,0.72,38.58,19.69,0.68
14,[b'GUILLEM PREZ LAYUNTA'],2 Derrota,3.0,24.33,8.67,3.33,8.33,0.4,0.0,1.33,0.0,2.0,4.0,0.5,3.0,0.34,0.38,6.9,0.14,0.69,40.24,23.61,1.23
14,[b'GUILLEM PREZ LAYUNTA'],2 Victoria,2.0,22.5,4.5,1.5,5.0,0.3,0.5,0.5,1.0,0.0,2.0,0.0,2.0,0.41,0.35,0.0,0.09,0.82,31.75,13.64,-0.15
14,[b'GUILLEM PREZ LAYUNTA'],3 Local,2.0,28.5,10.5,4.0,9.0,0.44,0.0,1.5,0.0,2.5,4.0,0.62,3.5,0.38,0.43,11.9,0.14,0.76,44.42,21.91,2.75
14,[b'GUILLEM PREZ LAYUNTA'],3 Visitant,3.0,20.33,4.67,1.67,5.67,0.29,0.33,0.67,0.5,0.33,2.67,0.12,2.0,0.34,0.31,1.75,0.11,0.68,30.41,17.87,-0.7
14,[b'GUILLEM PREZ LAYUNTA'],4 Banqueta,5.0,23.6,7.0,2.6,7.0,0.37,0.2,1.0,0.2,1.2,3.2,0.38,2.6,0.36,0.37,3.0,0.12,0.72,38.58,19.69,0.68
14,[b'GUILLEM PREZ LAYUNTA'],5 Dificil,3.0,25.67,8.0,2.67,7.33,0.36,0.33,1.33,0.25,1.67,4.0,0.42,3.0,0.37,0.38,6.41,0.15,0.73,39.5,20.22,1.0
14,[b'GUILLEM PREZ LAYUNTA'],5 Facil,2.0,20.5,5.5,2.5,6.5,0.38,0.0,0.5,0.0,0.5,2.0,0.25,2.0,0.36,0.35,3.57,0.07,0.71,36.54,18.77,0.2
16,[b'MARC PREZ LAYUNTA'],1 Mitjana,5.0,15.0,4.6,1.2,3.6,0.33,0.6,1.8,0.33,0.4,1.2,0.33,1.2,0.39,0.39,1.48,0.33,0.78,35.15,19.52,0.74
