Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
10,[b'ALBERT ROMAN PEREZ'],1 Mitjana,9.0,13.44,5.0,0.33,0.78,0.43,1.33,3.0,0.44,0.33,0.67,0.5,1.33,0.62,0.61,0.98,0.79,1.24,46.15,17.47,2.36
10,[b'ALBERT ROMAN PEREZ'],2 Derrota,4.0,14.5,4.0,0.5,1.25,0.4,1.0,2.25,0.44,0.0,0.0,0.0,0.75,0.57,0.57,0.0,0.64,1.14,42.86,13.76,1.85
10,[b'ALBERT ROMAN PEREZ'],2 Victoria,5.0,12.6,5.8,0.2,0.4,0.5,1.6,3.6,0.44,0.6,1.2,0.5,1.8,0.65,0.64,3.0,0.9,1.3,48.21,20.94,2.76
10,[b'ALBERT ROMAN PEREZ'],3 Local,5.0,13.0,4.2,0.0,0.8,0.0,1.4,3.0,0.47,0.0,0.0,0.0,1.6,0.55,0.55,0.0,0.79,1.11,36.84,17.43,1.46
10,[b'ALBERT ROMAN PEREZ'],3 Visitant,4.0,14.0,6.0,0.75,0.75,1.0,1.25,3.0,0.42,0.75,1.5,0.5,1.0,0.7,0.68,5.0,0.8,1.4,56.32,17.47,3.48
10,[b'ALBERT ROMAN PEREZ'],4 Banqueta,9.0,13.44,5.0,0.33,0.78,0.43,1.33,3.0,0.44,0.33,0.67,0.5,1.33,0.62,0.61,0.98,0.79,1.24,46.15,17.47,2.36
10,[b'ALBERT ROMAN PEREZ'],5 Dificil,5.0,12.0,3.6,0.6,0.6,1.0,0.8,2.4,0.33,0.0,0.4,0.0,1.0,0.6,0.57,0.0,0.8,1.2,44.3,15.25,1.5
10,[b'ALBERT ROMAN PEREZ'],5 Facil,4.0,15.25,6.75,0.0,1.0,0.0,2.0,3.75,0.53,0.75,1.0,0.75,1.75,0.63,0.65,3.95,0.79,1.26,46.12,19.67,3.42
10,[b'ALBERT ROMAN PEREZ'],7 Ultims 3,3.0,17.33,6.0,0.0,0.33,0.0,1.67,4.33,0.38,1.0,1.33,0.75,2.0,0.54,0.57,7.14,0.93,1.07,41.67,17.04,2.47
13,[b'FRANCESC PLA DE CASACUBERTA'],1 Mitjana,9.0,21.22,9.44,1.44,3.67,0.39,1.0,3.67,0.27,3.56,4.67,0.76,1.56,0.4,0.5,5.39,0.5,0.8,45.71,25.52,4.22
13,[b'FRANCESC PLA DE CASACUBERTA'],2 Derrota,4.0,24.25,7.5,2.0,5.5,0.36,0.5,3.0,0.17,2.0,3.0,0.67,1.5,0.32,0.38,5.88,0.35,0.65,36.77,23.08,1.55
13,[b'FRANCESC PLA DE CASACUBERTA'],2 Victoria,5.0,18.8,11.0,1.0,2.2,0.45,1.4,4.2,0.33,4.8,6.0,0.8,1.6,0.48,0.61,15.0,0.66,0.97,53.45,28.02,6.36
13,[b'FRANCESC PLA DE CASACUBERTA'],3 Local,5.0,19.6,5.8,0.6,2.0,0.3,0.6,3.0,0.2,2.8,3.6,0.78,1.4,0.3,0.44,11.2,0.6,0.6,39.89,20.03,1.9
13,[b'FRANCESC PLA DE CASACUBERTA'],3 Visitant,4.0,23.25,14.0,2.5,5.75,0.43,1.5,4.5,0.33,4.5,6.0,0.75,1.75,0.46,0.54,10.97,0.44,0.93,49.41,30.74,7.12
13,[b'FRANCESC PLA DE CASACUBERTA'],4 Banqueta,9.0,21.22,9.44,1.44,3.67,0.39,1.0,3.67,0.27,3.56,4.67,0.76,1.56,0.4,0.5,5.39,0.5,0.8,45.71,25.52,4.22
13,[b'FRANCESC PLA DE CASACUBERTA'],5 Dificil,5.0,23.6,10.0,2.2,5.0,0.44,0.6,3.0,0.2,3.8,4.8,0.79,1.4,0.39,0.49,9.5,0.38,0.78,46.74,24.69,4.56
13,[b'FRANCESC PLA DE CASACUBERTA'],5 Facil,4.0,18.25,8.75,0.5,2.0,0.25,1.5,4.5,0.33,3.25,4.5,0.72,1.75,0.42,0.52,12.5,0.69,0.85,44.11,26.86,3.8
13,[b'FRANCESC PLA DE CASACUBERTA'],7 Ultims 3,3.0,16.33,7.33,0.67,2.33,0.29,1.0,4.33,0.23,3.0,4.67,0.64,1.33,0.33,0.42,15.0,0.65,0.65,38.62,30.01,2.13
14,[b'ADRIA RUIZ DE AZUA MALDONADO'],1 Mitjana,9.0,17.89,7.56,2.56,5.0,0.51,0.11,0.89,0.12,2.11,3.44,0.61,3.67,0.46,0.51,3.98,0.15,0.92,52.82,23.88,2.5
14,[b'ADRIA RUIZ DE AZUA MALDONADO'],2 Derrota,4.0,20.5,9.25,3.0,5.75,0.52,0.25,1.0,0.25,2.5,4.0,0.62,4.0,0.5,0.54,9.26,0.15,1.0,55.39,23.66,3.62
14,[b'ADRIA RUIZ DE AZUA MALDONADO'],2 Victoria,5.0,15.8,6.2,2.2,4.4,0.5,0.0,0.8,0.0,1.8,3.0,0.6,3.4,0.42,0.48,6.92,0.15,0.85,50.12,24.05,1.6
14,[b'ADRIA RUIZ DE AZUA MALDONADO'],3 Local,5.0,18.2,9.0,3.2,6.0,0.53,0.0,0.8,0.0,2.6,4.0,0.65,3.2,0.47,0.53,7.65,0.12,0.94,54.81,28.05,3.68
14,[b'ADRIA RUIZ DE AZUA MALDONADO'],3 Visitant,4.0,17.5,5.75,1.75,3.75,0.47,0.25,1.0,0.25,1.5,2.75,0.55,4.25,0.45,0.48,7.89,0.21,0.89,49.11,18.89,1.02
14,[b'ADRIA RUIZ DE AZUA MALDONADO'],4 Banqueta,9.0,17.89,7.56,2.56,5.0,0.51,0.11,0.89,0.12,2.11,3.44,0.61,3.67,0.46,0.51,3.98,0.15,0.92,52.82,23.88,2.5
14,[b'ADRIA RUIZ DE AZUA MALDONADO'],5 Dificil,5.0,21.6,9.2,3.2,6.0,0.53,0.2,1.0,0.2,2.2,3.4,0.65,3.6,0.5,0.54,6.29,0.14,1.0,54.91,22.67,3.74
14,[b'ADRIA RUIZ DE AZUA MALDONADO'],5 Facil,4.0,13.25,5.5,1.75,3.75,0.47,0.0,0.75,0.0,2.0,3.5,0.57,3.75,0.39,0.46,11.11,0.17,0.78,49.03,26.35,0.95
14,[b'ADRIA RUIZ DE AZUA MALDONADO'],7 Ultims 3,3.0,15.67,8.67,2.67,5.0,0.53,0.0,1.0,0.0,3.33,4.67,0.71,3.33,0.44,0.54,18.52,0.17,0.89,55.69,28.9,3.67
15,[b'NIL CRESPO PEIRO'],1 Mitjana,9.0,21.67,8.56,1.22,2.89,0.42,1.22,4.56,0.27,2.44,3.0,0.81,1.22,0.41,0.49,3.65,0.61,0.82,41.68,23.34,3.61
15,[b'NIL CRESPO PEIRO'],2 Derrota,4.0,20.0,5.0,0.75,2.5,0.3,0.75,4.25,0.18,1.25,1.5,0.83,0.5,0.28,0.34,4.63,0.63,0.56,28.34,21.12,0.57
15,[b'NIL CRESPO PEIRO'],2 Victoria,5.0,23.0,11.4,1.6,3.2,0.5,1.6,4.8,0.33,3.4,4.2,0.81,1.8,0.5,0.58,8.5,0.6,1.0,49.78,24.95,6.04
15,[b'NIL CRESPO PEIRO'],3 Local,5.0,23.4,11.2,1.2,2.8,0.43,2.0,5.8,0.34,2.8,3.0,0.93,1.0,0.49,0.56,6.51,0.67,0.98,44.84,25.28,5.98
15,[b'NIL CRESPO PEIRO'],3 Visitant,4.0,19.5,5.25,1.25,3.0,0.42,0.25,3.0,0.08,2.0,3.0,0.67,1.5,0.27,0.36,8.33,0.5,0.54,35.65,20.82,0.65
15,[b'NIL CRESPO PEIRO'],4 Banqueta,9.0,21.67,8.56,1.22,2.89,0.42,1.22,4.56,0.27,2.44,3.0,0.81,1.22,0.41,0.49,3.65,0.61,0.82,41.68,23.34,3.61
15,[b'NIL CRESPO PEIRO'],5 Dificil,5.0,20.0,7.6,0.8,2.8,0.29,1.4,4.2,0.33,1.8,2.2,0.82,1.2,0.41,0.48,5.14,0.6,0.83,38.72,22.96,2.94
15,[b'NIL CRESPO PEIRO'],5 Facil,4.0,23.75,9.75,1.75,3.0,0.58,1.0,5.0,0.2,3.25,4.0,0.81,1.25,0.41,0.5,10.15,0.62,0.81,44.73,23.75,4.45
15,[b'NIL CRESPO PEIRO'],7 Ultims 3,3.0,19.33,9.67,1.0,2.0,0.5,1.33,4.33,0.31,3.67,4.33,0.85,1.67,0.47,0.59,19.3,0.68,0.95,49.9,23.96,5.23
17,[b'ALEJANDRO VALLINA CERVERA'],1 Mitjana,6.0,9.67,3.17,0.83,2.5,0.33,0.17,1.5,0.11,1.0,1.83,0.55,1.0,0.27,0.33,4.17,0.38,0.54,33.42,28.17,0.03
17,[b'ALEJANDRO VALLINA CERVERA'],2 Derrota,4.0,7.25,2.75,0.75,1.75,0.43,0.25,1.25,0.2,0.5,1.0,0.5,0.5,0.38,0.4,4.17,0.42,0.75,38.24,27.04,0.65
