Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
0,[b'EDWIN JOSE NIEBLES HERRERA'],1 Mitjana,14.0,21.36,8.71,3.36,6.07,0.55,0.0,0.21,0.0,2.0,3.29,0.61,2.79,0.53,0.56,2.27,0.03,1.07,58.82,18.65,4.03
0,[b'EDWIN JOSE NIEBLES HERRERA'],2 Derrota,6.0,20.5,6.67,2.17,4.67,0.46,0.0,0.17,0.0,2.33,3.83,0.61,3.0,0.45,0.51,8.05,0.03,0.9,54.43,17.06,2.35
0,[b'EDWIN JOSE NIEBLES HERRERA'],2 Victoria,8.0,22.0,10.25,4.25,7.12,0.6,0.0,0.25,0.0,1.75,2.88,0.61,2.62,0.58,0.59,2.97,0.03,1.15,61.28,19.66,5.29
0,[b'EDWIN JOSE NIEBLES HERRERA'],3 Local,7.0,20.29,9.86,3.71,7.0,0.53,0.0,0.43,0.0,2.43,4.14,0.59,2.43,0.5,0.53,4.67,0.06,1.0,56.0,23.24,4.49
0,[b'EDWIN JOSE NIEBLES HERRERA'],4 Banqueta,14.0,21.36,8.71,3.36,6.07,0.55,0.0,0.21,0.0,2.0,3.29,0.61,2.79,0.53,0.56,2.27,0.03,1.07,58.82,18.65,4.03
0,[b'EDWIN JOSE NIEBLES HERRERA'],5 Dificil,8.0,20.88,8.25,3.12,5.38,0.58,0.0,0.25,0.0,2.0,3.38,0.59,3.0,0.56,0.58,4.45,0.04,1.11,60.95,18.37,3.81
0,[b'EDWIN JOSE NIEBLES HERRERA'],5 Facil,6.0,22.0,9.33,3.67,7.0,0.52,0.0,0.17,0.0,2.0,3.17,0.63,2.5,0.51,0.55,4.65,0.02,1.02,56.46,18.92,4.32
0,[b'EDWIN JOSE NIEBLES HERRERA'],6 Equips Cua,2.0,23.0,6.0,2.0,5.5,0.36,0.0,0.5,0.0,2.0,3.0,0.67,2.5,0.33,0.41,16.66,0.08,0.67,42.59,15.87,1.2
0,[b'EDWIN JOSE NIEBLES HERRERA'],6 Equips Top,2.0,23.0,6.0,2.0,5.5,0.36,0.0,0.5,0.0,2.0,3.0,0.67,2.5,0.33,0.41,16.66,0.08,0.67,42.59,15.87,1.2
10,[b'POL CAMPENY LLOVERAS'],1 Mitjana,14.0,23.36,10.14,1.79,3.86,0.46,1.93,5.29,0.36,0.79,1.36,0.58,1.43,0.51,0.52,0.61,0.58,1.02,42.96,21.49,4.43
