Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
00,[b'ORLANDO MENDEZ RAMIREZ'],1 Mitjana,14.0,13.5,6.57,2.21,5.29,0.42,0.21,1.5,0.14,1.5,2.43,0.62,2.43,0.37,0.42,1.58,0.22,0.75,42.0,31.53,1.45
00,[b'ORLANDO MENDEZ RAMIREZ'],2 Derrota,6.0,14.83,5.5,2.33,6.83,0.34,0.0,1.33,0.0,0.83,1.5,0.56,2.5,0.29,0.31,1.7,0.16,0.57,32.11,31.37,-0.55
00,[b'ORLANDO MENDEZ RAMIREZ'],2 Victoria,8.0,12.5,7.38,2.12,4.12,0.52,0.38,1.62,0.23,2.0,3.12,0.64,2.38,0.47,0.52,4.35,0.28,0.93,51.26,31.54,2.95
00,[b'ORLANDO MENDEZ RAMIREZ'],3 Local,8.0,11.0,4.62,1.5,4.38,0.34,0.12,0.88,0.14,1.25,1.62,0.77,1.88,0.32,0.39,2.98,0.17,0.64,37.97,30.07,0.7
00,[b'ORLANDO MENDEZ RAMIREZ'],3 Visitant,6.0,16.83,9.17,3.17,6.5,0.49,0.33,2.33,0.14,1.83,3.5,0.52,3.17,0.42,0.44,3.46,0.26,0.83,44.78,32.41,2.45
00,[b'ORLANDO MENDEZ RAMIREZ'],4 Banqueta,14.0,13.5,6.57,2.21,5.29,0.42,0.21,1.5,0.14,1.5,2.43,0.62,2.43,0.37,0.42,1.58,0.22,0.75,42.0,31.53,1.45
00,[b'ORLANDO MENDEZ RAMIREZ'],5 Dificil,8.0,12.75,7.12,2.25,4.5,0.5,0.38,1.62,0.23,1.5,2.5,0.6,2.75,0.46,0.49,3.06,0.27,0.92,48.63,31.7,2.39
00,[b'ORLANDO MENDEZ RAMIREZ'],5 Facil,6.0,14.5,5.83,2.17,6.33,0.34,0.0,1.33,0.0,1.5,2.33,0.64,2.0,0.28,0.34,3.26,0.17,0.57,34.66,31.18,0.2
00,[b'ORLANDO MENDEZ RAMIREZ'],6 Equips Cua,2.0,16.0,4.5,2.0,6.5,0.31,0.0,1.0,0.0,0.5,1.0,0.5,2.0,0.27,0.28,3.33,0.13,0.53,29.11,26.31,-0.95
00,[b'ORLANDO MENDEZ RAMIREZ'],6 Equips Top,2.0,16.0,4.5,2.0,6.5,0.31,0.0,1.0,0.0,0.5,1.0,0.5,2.0,0.27,0.28,3.33,0.13,0.53,29.11,26.31,-0.95
1,[b'JOSE MARIA MARZAL GUISADO'],1 Mitjana,2.0,5.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.72,-0.75
1,[b'ORIOL ESTRUCH FLUVIA'],1 Mitjana,8.0,12.5,2.38,0.75,1.5,0.5,0.25,1.0,0.25,0.12,0.25,0.5,1.88,0.45,0.45,0.62,0.4,0.9,41.35,11.41,0.23
1,[b'ORIOL ESTRUCH FLUVIA'],2 Derrota,3.0,13.0,2.67,0.67,1.33,0.5,0.33,1.0,0.33,0.33,0.67,0.5,1.33,0.5,0.51,4.76,0.43,1.0,46.15,11.08,0.77
1,[b'ORIOL ESTRUCH FLUVIA'],2 Victoria,5.0,12.2,2.2,0.8,1.6,0.5,0.2,1.0,0.2,0.0,0.0,0.0,2.2,0.42,0.42,0.0,0.38,0.85,38.46,11.62,-0.1
1,[b'JOSE MARIA MARZAL GUISADO'],2 Victoria,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.88,-1.1
1,[b'ORIOL ESTRUCH FLUVIA'],3 Local,3.0,11.67,2.33,0.67,1.67,0.4,0.33,1.33,0.25,0.0,0.0,0.0,1.33,0.39,0.39,0.0,0.44,0.78,33.33,15.55,0.1
1,[b'JOSE MARIA MARZAL GUISADO'],3 Local,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.88,-1.1
1,[b'ORIOL ESTRUCH FLUVIA'],3 Visitant,5.0,13.0,2.4,0.8,1.4,0.57,0.2,0.8,0.25,0.2,0.4,0.5,2.2,0.5,0.51,1.82,0.36,1.0,47.46,9.44,0.3
1,[b'ORIOL ESTRUCH FLUVIA'],4 Banqueta,8.0,12.5,2.38,0.75,1.5,0.5,0.25,1.0,0.25,0.12,0.25,0.5,1.88,0.45,0.45,0.62,0.4,0.9,41.35,11.41,0.23
1,[b'JOSE MARIA MARZAL GUISADO'],4 Banqueta,2.0,5.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.72,-0.75
1,[b'ORIOL ESTRUCH FLUVIA'],5 Dificil,5.0,13.2,2.6,1.0,1.8,0.56,0.2,1.2,0.17,0.0,0.0,0.0,2.0,0.43,0.43,0.0,0.4,0.87,40.0,13.09,0.18
1,[b'ORIOL ESTRUCH FLUVIA'],5 Facil,3.0,11.33,2.0,0.33,1.0,0.33,0.33,0.67,0.5,0.33,0.67,0.5,1.67,0.5,0.51,6.67,0.4,1.0,44.83,8.71,0.3
1,[b'JOSE MARIA MARZAL GUISADO'],5 Facil,2.0,5.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.72,-0.75
1,[b'JOSE MARIA MARZAL GUISADO'],6 Equips Cua,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.88,-1.1
1,[b'ORIOL ESTRUCH FLUVIA'],6 Equips Cua,2.0,11.0,2.0,1.0,2.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,3.0,0.4,0.4,0.0,0.2,0.8,40.0,11.93,-0.55
1,[b'JOSE MARIA MARZAL GUISADO'],6 Equips Top,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7.88,-1.1
