Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
0,[b'ARNAU IGLESIAS'],1 Mitjana,6.0,15.5,3.17,0.17,1.67,0.1,0.67,2.17,0.31,0.83,1.0,0.83,1.5,0.3,0.37,3.62,0.57,0.61,28.87,16.14,0.15
0,[b'ARNAU IGLESIAS'],2 Derrota,5.0,15.8,3.2,0.2,1.6,0.12,0.6,2.0,0.3,1.0,1.2,0.83,1.2,0.31,0.39,5.56,0.56,0.61,31.05,14.92,0.44
0,[b'ARNAU IGLESIAS'],2 Victoria,1.0,14.0,3.0,0.0,2.0,0.0,1.0,3.0,0.33,0.0,0.0,0.0,3.0,0.3,0.3,0.0,0.6,0.6,20.0,23.86,-1.3
0,[b'ARNAU IGLESIAS'],3 Local,4.0,13.75,3.5,0.25,1.75,0.14,1.0,2.25,0.44,0.0,0.0,0.0,1.5,0.44,0.44,0.0,0.56,0.88,31.25,17.26,0.6
0,[b'ARNAU IGLESIAS'],3 Visitant,2.0,19.0,2.5,0.0,1.5,0.0,0.0,2.0,0.0,2.5,3.0,0.83,1.5,0.0,0.26,35.72,0.57,0.0,24.82,14.46,-0.75
0,[b'ARNAU IGLESIAS'],4 Banqueta,6.0,15.5,3.17,0.17,1.67,0.1,0.67,2.17,0.31,0.83,1.0,0.83,1.5,0.3,0.37,3.62,0.57,0.61,28.87,16.14,0.15
0,[b'ARNAU IGLESIAS'],5 Dificil,4.0,16.75,2.75,0.0,1.25,0.0,0.5,2.25,0.22,1.25,1.5,0.83,1.75,0.21,0.33,8.93,0.64,0.43,26.42,14.79,-0.3
0,[b'ARNAU IGLESIAS'],5 Facil,2.0,13.0,4.0,0.5,2.5,0.2,1.0,2.0,0.5,0.0,0.0,0.0,1.0,0.44,0.44,0.0,0.44,0.89,33.33,19.6,1.05
0,[b'ARNAU IGLESIAS'],7 Ultims 3,3.0,15.0,4.33,0.0,1.33,0.0,1.0,2.33,0.43,1.33,1.33,1.0,1.67,0.41,0.51,12.12,0.64,0.82,36.51,17.13,1.5
1,[b'MARIANO ZAERA MUNIESA'],1 Mitjana,6.0,15.0,3.83,1.67,3.67,0.45,0.0,0.33,0.0,0.5,0.83,0.6,1.17,0.42,0.44,2.08,0.08,0.83,44.92,17.04,1.1
1,[b'MARIANO ZAERA MUNIESA'],2 Derrota,5.0,15.6,4.2,1.8,4.2,0.43,0.0,0.2,0.0,0.6,1.0,0.6,0.8,0.41,0.43,2.73,0.05,0.82,44.5,17.72,1.36
1,[b'MARIANO ZAERA MUNIESA'],2 Victoria,1.0,12.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.5,0.5,0.0,0.5,1.0,50.0,11.13,-0.2
1,[b'MARIANO ZAERA MUNIESA'],3 Local,4.0,14.5,2.75,1.0,3.5,0.29,0.0,0.5,0.0,0.75,1.25,0.6,0.75,0.25,0.3,4.69,0.12,0.5,31.56,18.61,-0.15
1,[b'MARIANO ZAERA MUNIESA'],3 Visitant,2.0,16.0,6.0,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.75,0.75,0.0,0.0,1.5,75.0,14.25,3.6
1,[b'MARIANO ZAERA MUNIESA'],4 Banqueta,6.0,15.0,3.83,1.67,3.67,0.45,0.0,0.33,0.0,0.5,0.83,0.6,1.17,0.42,0.44,2.08,0.08,0.83,44.92,17.04,1.1
1,[b'MARIANO ZAERA MUNIESA'],5 Dificil,4.0,14.5,3.5,1.75,3.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.75,0.44,0.44,0.0,0.12,0.88,43.75,16.42,0.7
1,[b'MARIANO ZAERA MUNIESA'],5 Facil,2.0,16.0,4.5,1.5,4.0,0.38,0.0,0.0,0.0,1.5,2.5,0.6,0.0,0.38,0.44,18.75,0.0,0.75,46.8,18.04,1.9
1,[b'MARIANO ZAERA MUNIESA'],7 Ultims 3,3.0,14.0,3.0,1.33,2.33,0.57,0.0,0.33,0.0,0.33,0.33,1.0,1.67,0.5,0.53,4.17,0.12,1.0,52.38,12.14,1.0
11,[b'PAUL ATSU ROMERO'],1 Mitjana,6.0,21.5,8.67,2.33,4.83,0.48,1.0,2.17,0.46,1.0,1.33,0.75,1.33,0.55,0.57,2.38,0.31,1.1,50.88,20.65,4.43
11,[b'PAUL ATSU ROMERO'],2 Derrota,5.0,20.8,7.8,2.2,5.0,0.44,0.8,1.6,0.5,1.0,1.4,0.71,1.4,0.52,0.54,3.03,0.24,1.03,49.08,19.81,3.66
11,[b'PAUL ATSU ROMERO'],2 Victoria,1.0,25.0,13.0,3.0,4.0,0.75,2.0,5.0,0.4,1.0,1.0,1.0,1.0,0.67,0.69,11.11,0.56,1.33,57.45,25.22,8.3
11,[b'PAUL ATSU ROMERO'],3 Local,4.0,22.75,9.5,2.0,3.75,0.53,1.5,3.25,0.46,1.0,1.0,1.0,1.25,0.61,0.64,3.57,0.46,1.21,52.7,19.4,5.5
11,[b'PAUL ATSU ROMERO'],3 Visitant,2.0,19.0,7.0,3.0,7.0,0.43,0.0,0.0,0.0,1.0,2.0,0.5,1.5,0.43,0.44,7.14,0.0,0.86,46.15,23.64,2.3
