Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
10,[b'JOAN GARI GARI'],1 Mitjana,2.0,24.5,7.5,2.5,4.5,0.56,0.5,1.5,0.33,1.0,3.0,0.33,3.5,0.54,0.51,8.34,0.25,1.08,50.93,15.78,2.3
10,[b'JOAN GARI GARI'],2 Derrota,2.0,24.5,7.5,2.5,4.5,0.56,0.5,1.5,0.33,1.0,3.0,0.33,3.5,0.54,0.51,8.34,0.25,1.08,50.93,15.78,2.3
10,[b'JOAN GARI GARI'],3 Visitant,2.0,24.5,7.5,2.5,4.5,0.56,0.5,1.5,0.33,1.0,3.0,0.33,3.5,0.54,0.51,8.34,0.25,1.08,50.93,15.78,2.3
10,[b'JOAN GARI GARI'],4 Banqueta,2.0,24.5,7.5,2.5,4.5,0.56,0.5,1.5,0.33,1.0,3.0,0.33,3.5,0.54,0.51,8.34,0.25,1.08,50.93,15.78,2.3
10,[b'JOAN GARI GARI'],5 Facil,2.0,24.5,7.5,2.5,4.5,0.56,0.5,1.5,0.33,1.0,3.0,0.33,3.5,0.54,0.51,8.34,0.25,1.08,50.93,15.78,2.3
10,[b'JOAN GARI GARI'],7 Ultims 3,2.0,24.5,7.5,2.5,4.5,0.56,0.5,1.5,0.33,1.0,3.0,0.33,3.5,0.54,0.51,8.34,0.25,1.08,50.93,15.78,2.3
11,[b'MARC NAVARRO DOMINGUEZ'],1 Mitjana,2.0,33.5,14.0,2.5,5.5,0.45,1.0,8.5,0.12,6.0,9.5,0.63,2.0,0.29,0.39,21.43,0.61,0.57,38.11,28.67,3.4
11,[b'MARC NAVARRO DOMINGUEZ'],2 Derrota,2.0,33.5,14.0,2.5,5.5,0.45,1.0,8.5,0.12,6.0,9.5,0.63,2.0,0.29,0.39,21.43,0.61,0.57,38.11,28.67,3.4
11,[b'MARC NAVARRO DOMINGUEZ'],3 Visitant,2.0,33.5,14.0,2.5,5.5,0.45,1.0,8.5,0.12,6.0,9.5,0.63,2.0,0.29,0.39,21.43,0.61,0.57,38.11,28.67,3.4
11,[b'MARC NAVARRO DOMINGUEZ'],4 Banqueta,2.0,33.5,14.0,2.5,5.5,0.45,1.0,8.5,0.12,6.0,9.5,0.63,2.0,0.29,0.39,21.43,0.61,0.57,38.11,28.67,3.4
11,[b'MARC NAVARRO DOMINGUEZ'],5 Facil,2.0,33.5,14.0,2.5,5.5,0.45,1.0,8.5,0.12,6.0,9.5,0.63,2.0,0.29,0.39,21.43,0.61,0.57,38.11,28.67,3.4
11,[b'MARC NAVARRO DOMINGUEZ'],7 Ultims 3,2.0,33.5,14.0,2.5,5.5,0.45,1.0,8.5,0.12,6.0,9.5,0.63,2.0,0.29,0.39,21.43,0.61,0.57,38.11,28.67,3.4
12,[b'SERIGNE ABDOU NGUEDD NDOUR'],1 Mitjana,2.0,19.0,11.0,4.0,7.0,0.57,0.0,1.5,0.0,3.0,5.0,0.6,4.5,0.47,0.51,17.64,0.18,0.94,54.1,29.75,4.05
12,[b'SERIGNE ABDOU NGUEDD NDOUR'],2 Derrota,2.0,19.0,11.0,4.0,7.0,0.57,0.0,1.5,0.0,3.0,5.0,0.6,4.5,0.47,0.51,17.64,0.18,0.94,54.1,29.75,4.05
12,[b'SERIGNE ABDOU NGUEDD NDOUR'],3 Visitant,2.0,19.0,11.0,4.0,7.0,0.57,0.0,1.5,0.0,3.0,5.0,0.6,4.5,0.47,0.51,17.64,0.18,0.94,54.1,29.75,4.05
12,[b'SERIGNE ABDOU NGUEDD NDOUR'],4 Banqueta,2.0,19.0,11.0,4.0,7.0,0.57,0.0,1.5,0.0,3.0,5.0,0.6,4.5,0.47,0.51,17.64,0.18,0.94,54.1,29.75,4.05
12,[b'SERIGNE ABDOU NGUEDD NDOUR'],5 Facil,2.0,19.0,11.0,4.0,7.0,0.57,0.0,1.5,0.0,3.0,5.0,0.6,4.5,0.47,0.51,17.64,0.18,0.94,54.1,29.75,4.05
12,[b'SERIGNE ABDOU NGUEDD NDOUR'],7 Ultims 3,2.0,19.0,11.0,4.0,7.0,0.57,0.0,1.5,0.0,3.0,5.0,0.6,4.5,0.47,0.51,17.64,0.18,0.94,54.1,29.75,4.05
13,[b'ARNAU LATORRE SEGURA'],1 Mitjana,2.0,8.0,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,13.21,-1.8
13,[b'ARNAU LATORRE SEGURA'],2 Derrota,2.0,8.0,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,13.21,-1.8
13,[b'ARNAU LATORRE SEGURA'],3 Visitant,2.0,8.0,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,13.21,-1.8
13,[b'ARNAU LATORRE SEGURA'],4 Banqueta,2.0,8.0,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,13.21,-1.8
13,[b'ARNAU LATORRE SEGURA'],5 Facil,2.0,8.0,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,13.21,-1.8
13,[b'ARNAU LATORRE SEGURA'],7 Ultims 3,2.0,8.0,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,13.21,-1.8
16,[b'ADRIN GARCIA MANERO'],1 Mitjana,2.0,9.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,2.0,0.25,1.5,0.0,0.13,25.0,0.5,0.0,19.44,10.45,-1.4
16,[b'ADRIN GARCIA MANERO'],2 Derrota,2.0,9.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,2.0,0.25,1.5,0.0,0.13,25.0,0.5,0.0,19.44,10.45,-1.4
16,[b'ADRIN GARCIA MANERO'],3 Visitant,2.0,9.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,2.0,0.25,1.5,0.0,0.13,25.0,0.5,0.0,19.44,10.45,-1.4
16,[b'ADRIN GARCIA MANERO'],4 Banqueta,2.0,9.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,2.0,0.25,1.5,0.0,0.13,25.0,0.5,0.0,19.44,10.45,-1.4
16,[b'ADRIN GARCIA MANERO'],5 Facil,2.0,9.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,2.0,0.25,1.5,0.0,0.13,25.0,0.5,0.0,19.44,10.45,-1.4
16,[b'ADRIN GARCIA MANERO'],7 Ultims 3,2.0,9.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.5,2.0,0.25,1.5,0.0,0.13,25.0,0.5,0.0,19.44,10.45,-1.4
17,[b'XESC PADR CASELLAS'],1 Mitjana,2.0,9.0,1.0,0.5,1.5,0.33,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.0,0.25,0.5,25.0,11.74,-0.6
17,[b'XESC PADR CASELLAS'],2 Derrota,2.0,9.0,1.0,0.5,1.5,0.33,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.0,0.25,0.5,25.0,11.74,-0.6
17,[b'XESC PADR CASELLAS'],3 Visitant,2.0,9.0,1.0,0.5,1.5,0.33,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.0,0.25,0.5,25.0,11.74,-0.6
17,[b'XESC PADR CASELLAS'],4 Banqueta,2.0,9.0,1.0,0.5,1.5,0.33,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.0,0.25,0.5,25.0,11.74,-0.6
17,[b'XESC PADR CASELLAS'],5 Facil,2.0,9.0,1.0,0.5,1.5,0.33,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.0,0.25,0.5,25.0,11.74,-0.6
17,[b'XESC PADR CASELLAS'],7 Ultims 3,2.0,9.0,1.0,0.5,1.5,0.33,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.25,0.25,0.0,0.25,0.5,25.0,11.74,-0.6
18,[b'JOAN SILVESTRE PIJUAN'],1 Mitjana,2.0,8.5,1.5,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.33,1.0,33.33,9.32,0.25
18,[b'JOAN SILVESTRE PIJUAN'],2 Derrota,2.0,8.5,1.5,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.33,1.0,33.33,9.32,0.25
18,[b'JOAN SILVESTRE PIJUAN'],3 Visitant,2.0,8.5,1.5,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.33,1.0,33.33,9.32,0.25
18,[b'JOAN SILVESTRE PIJUAN'],4 Banqueta,2.0,8.5,1.5,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.33,1.0,33.33,9.32,0.25
18,[b'JOAN SILVESTRE PIJUAN'],5 Facil,2.0,8.5,1.5,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.33,1.0,33.33,9.32,0.25
18,[b'JOAN SILVESTRE PIJUAN'],7 Ultims 3,2.0,8.5,1.5,0.0,1.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.33,1.0,33.33,9.32,0.25
4,[b'ALBERT PUIG CARULLA'],1 Mitjana,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.55,-1.5
4,[b'ALBERT PUIG CARULLA'],2 Derrota,2.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.55,-1.5
