Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
10,[b'RUBEN MORALES BUENO'],1 Mitjana,1.0,11.0,3.0,1.0,3.0,0.33,0.0,0.0,0.0,1.0,2.0,0.5,4.0,0.33,0.39,33.33,0.0,0.67,42.11,16.52,-0.7
10,[b'RUBEN MORALES BUENO'],2 Victoria,1.0,11.0,3.0,1.0,3.0,0.33,0.0,0.0,0.0,1.0,2.0,0.5,4.0,0.33,0.39,33.33,0.0,0.67,42.11,16.52,-0.7
10,[b'RUBEN MORALES BUENO'],3 Visitant,1.0,11.0,3.0,1.0,3.0,0.33,0.0,0.0,0.0,1.0,2.0,0.5,4.0,0.33,0.39,33.33,0.0,0.67,42.11,16.52,-0.7
10,[b'RUBEN MORALES BUENO'],4 Banqueta,1.0,11.0,3.0,1.0,3.0,0.33,0.0,0.0,0.0,1.0,2.0,0.5,4.0,0.33,0.39,33.33,0.0,0.67,42.11,16.52,-0.7
10,[b'RUBEN MORALES BUENO'],5 Facil,1.0,11.0,3.0,1.0,3.0,0.33,0.0,0.0,0.0,1.0,2.0,0.5,4.0,0.33,0.39,33.33,0.0,0.67,42.11,16.52,-0.7
12,[b'ALBERT NAFRIA SOLER'],1 Mitjana,3.0,7.33,1.33,0.67,1.67,0.4,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.17,0.67,33.33,13.89,0.2
12,[b'ALBERT NAFRIA SOLER'],2 Victoria,3.0,7.33,1.33,0.67,1.67,0.4,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.17,0.67,33.33,13.89,0.2
12,[b'ALBERT NAFRIA SOLER'],3 Local,2.0,9.0,2.0,1.0,2.5,0.4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.17,0.67,33.33,16.49,0.3
12,[b'ALBERT NAFRIA SOLER'],3 Visitant,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,[b'ALBERT NAFRIA SOLER'],4 Banqueta,3.0,7.33,1.33,0.67,1.67,0.4,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.17,0.67,33.33,13.89,0.2
12,[b'ALBERT NAFRIA SOLER'],5 Dificil,2.0,5.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,-0.35
12,[b'ALBERT NAFRIA SOLER'],5 Facil,1.0,12.0,4.0,2.0,4.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.2,0.8,40.0,19.7,1.3
13,[b'ENRIC ALIAGA CHECA'],1 Mitjana,5.0,21.0,6.4,2.2,5.4,0.41,0.2,1.0,0.2,1.4,2.4,0.58,3.0,0.39,0.43,4.38,0.16,0.78,43.39,18.09,1.28
13,[b'ENRIC ALIAGA CHECA'],2 Victoria,5.0,21.0,6.4,2.2,5.4,0.41,0.2,1.0,0.2,1.4,2.4,0.58,3.0,0.39,0.43,4.38,0.16,0.78,43.39,18.09,1.28
13,[b'ENRIC ALIAGA CHECA'],3 Local,2.0,18.5,8.5,2.5,6.0,0.42,0.5,2.0,0.25,2.0,4.0,0.5,3.5,0.41,0.44,12.5,0.25,0.81,43.75,26.1,1.9
13,[b'ENRIC ALIAGA CHECA'],3 Visitant,3.0,22.67,5.0,2.0,5.0,0.4,0.0,0.33,0.0,1.0,1.33,0.75,2.67,0.38,0.42,6.25,0.06,0.75,42.61,13.58,0.87
