Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
10,[b'ALVARO BELLO MARAB'],1 Mitjana,7.0,19.29,7.0,2.29,4.57,0.5,0.14,1.86,0.08,2.0,3.29,0.61,2.71,0.39,0.44,4.44,0.29,0.78,45.74,21.83,1.87
10,[b'ANTHONY ALEGRIA VALENCIA'],1 Mitjana,8.0,11.88,1.88,0.62,1.25,0.5,0.0,0.12,0.0,0.62,1.25,0.5,1.75,0.45,0.49,5.68,0.09,0.91,53.33,8.8,0.21
10,[b'ALVARO BELLO MARAB'],2 Derrota,4.0,18.5,7.0,2.75,5.25,0.52,0.0,1.5,0.0,1.5,2.5,0.6,3.5,0.41,0.45,5.55,0.22,0.81,46.32,22.34,1.57
10,[b'ANTHONY ALEGRIA VALENCIA'],2 Victoria,4.0,13.0,3.0,1.0,1.5,0.67,0.0,0.0,0.0,1.0,1.5,0.67,1.75,0.67,0.69,16.67,0.0,1.33,73.02,9.3,1.45
10,[b'ALVARO BELLO MARAB'],2 Victoria,3.0,20.33,7.0,1.67,3.67,0.45,0.33,2.33,0.14,2.67,4.33,0.62,1.67,0.36,0.44,14.81,0.39,0.72,44.96,21.22,2.27
10,[b'ALVARO BELLO MARAB'],3 Local,4.0,20.5,9.25,2.75,5.75,0.48,0.25,2.25,0.11,3.0,4.75,0.63,2.5,0.39,0.46,9.38,0.28,0.78,46.89,25.4,3.15
10,[b'ANTHONY ALEGRIA VALENCIA'],3 Visitant,4.0,12.25,1.0,0.25,1.25,0.2,0.0,0.25,0.0,0.5,1.0,0.5,2.75,0.17,0.26,8.33,0.17,0.33,28.95,9.06,-1.25
10,[b'ALVARO BELLO MARAB'],3 Visitant,3.0,17.67,4.0,1.67,3.0,0.56,0.0,1.33,0.0,0.67,1.33,0.5,3.0,0.38,0.41,5.13,0.31,0.77,42.47,15.63,0.17
10,[b'ANTHONY ALEGRIA VALENCIA'],4 Banqueta,8.0,11.88,1.88,0.62,1.25,0.5,0.0,0.12,0.0,0.62,1.25,0.5,1.75,0.45,0.49,5.68,0.09,0.91,53.33,8.8,0.21
10,[b'ALVARO BELLO MARAB'],4 Banqueta,7.0,19.29,7.0,2.29,4.57,0.5,0.14,1.86,0.08,2.0,3.29,0.61,2.71,0.39,0.44,4.44,0.29,0.78,45.74,21.83,1.87
