Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
11,[b'ORIOL FONT ORDEIG'],5 Facil,1.0,25.0,9.0,2.0,4.0,0.5,1.0,5.0,0.2,2.0,2.0,1.0,2.0,0.39,0.46,22.22,0.56,0.78,38.78,22.71,3.1
12,[b'MART TALARN CORTINA'],1 Mitjana,4.0,14.75,1.25,0.5,1.75,0.29,0.0,1.0,0.0,0.25,1.0,0.25,2.0,0.18,0.2,2.27,0.36,0.36,21.43,12.38,-1.57
12,[b'MART TALARN CORTINA'],2 Derrota,3.0,14.0,1.0,0.33,1.67,0.2,0.0,0.67,0.0,0.33,1.33,0.25,1.67,0.14,0.17,4.76,0.29,0.29,19.77,12.05,-1.57
12,[b'MART TALARN CORTINA'],2 Victoria,1.0,17.0,2.0,1.0,2.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.25,0.25,0.0,0.5,0.5,25.0,13.09,-1.6
12,[b'MART TALARN CORTINA'],3 Local,2.0,16.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,1.5,0.0,0.0,0.0,0.33,0.0,0.0,7.06,-2.05
12,[b'MART TALARN CORTINA'],3 Visitant,2.0,13.5,2.5,1.0,2.5,0.4,0.0,1.5,0.0,0.5,1.0,0.5,2.5,0.25,0.28,6.25,0.38,0.5,29.55,18.49,-1.1
12,[b'MART TALARN CORTINA'],4 Banqueta,4.0,14.75,1.25,0.5,1.75,0.29,0.0,1.0,0.0,0.25,1.0,0.25,2.0,0.18,0.2,2.27,0.36,0.36,21.43,12.38,-1.57
12,[b'MART TALARN CORTINA'],5 Dificil,4.0,14.75,1.25,0.5,1.75,0.29,0.0,1.0,0.0,0.25,1.0,0.25,2.0,0.18,0.2,2.27,0.36,0.36,21.43,12.38,-1.57
13,[b'BERNAT FARELL SILVA'],1 Mitjana,5.0,25.6,9.2,2.4,5.8,0.41,1.4,5.0,0.28,0.2,0.8,0.25,2.2,0.42,0.41,0.37,0.46,0.83,35.43,24.95,2.04
13,[b'BERNAT FARELL SILVA'],2 Derrota,3.0,24.67,6.33,2.67,6.33,0.42,0.33,4.0,0.08,0.0,0.0,0.0,3.0,0.31,0.31,0.0,0.39,0.61,29.03,24.19,-0.9
13,[b'BERNAT FARELL SILVA'],2 Victoria,2.0,27.0,13.5,2.0,5.0,0.4,3.0,6.5,0.46,0.5,2.0,0.25,1.0,0.57,0.55,2.17,0.57,1.13,43.5,25.92,6.45
13,[b'BERNAT FARELL SILVA'],3 Local,2.0,22.5,3.0,1.5,3.5,0.43,0.0,4.0,0.0,0.0,0.0,0.0,3.5,0.2,0.2,0.0,0.53,0.4,20.0,19.4,-3.05
13,[b'BERNAT FARELL SILVA'],3 Visitant,3.0,27.67,13.33,3.0,7.33,0.41,2.33,5.67,0.41,0.33,1.33,0.25,1.33,0.5,0.49,0.85,0.44,1.0,41.13,27.81,5.43
13,[b'BERNAT FARELL SILVA'],4 Banqueta,5.0,25.6,9.2,2.4,5.8,0.41,1.4,5.0,0.28,0.2,0.8,0.25,2.2,0.42,0.41,0.37,0.46,0.83,35.43,24.95,2.04
13,[b'BERNAT FARELL SILVA'],5 Dificil,4.0,24.25,7.5,2.25,5.25,0.43,1.0,4.5,0.22,0.0,0.0,0.0,2.5,0.38,0.38,0.0,0.46,0.77,33.33,23.01,0.97
13,[b'BERNAT FARELL SILVA'],5 Facil,1.0,31.0,16.0,3.0,8.0,0.38,3.0,7.0,0.43,1.0,4.0,0.25,1.0,0.5,0.48,6.67,0.47,1.0,40.36,31.07,6.3
14,[b'GERARD TALARN CORTINA'],1 Mitjana,5.0,21.8,8.8,3.8,8.4,0.45,0.0,0.0,0.0,1.2,2.6,0.46,3.0,0.45,0.46,2.86,0.0,0.9,48.08,25.07,2.68
14,[b'GERARD TALARN CORTINA'],2 Derrota,3.0,21.33,10.33,4.33,9.67,0.45,0.0,0.0,0.0,1.67,3.33,0.5,3.0,0.45,0.46,5.75,0.0,0.9,48.48,30.14,3.43
14,[b'GERARD TALARN CORTINA'],2 Victoria,2.0,22.5,6.5,3.0,6.5,0.46,0.0,0.0,0.0,0.5,1.5,0.33,3.0,0.46,0.45,3.85,0.0,0.92,46.95,17.99,1.55
14,[b'GERARD TALARN CORTINA'],3 Local,2.0,22.5,12.5,5.5,11.5,0.48,0.0,0.0,0.0,1.5,4.0,0.38,3.0,0.48,0.47,6.52,0.0,0.96,49.43,34.29,4.45
14,[b'GERARD TALARN CORTINA'],3 Visitant,3.0,21.33,6.33,2.67,6.33,0.42,0.0,0.0,0.0,1.0,1.67,0.6,3.0,0.42,0.45,5.26,0.0,0.84,46.1,18.76,1.5
14,[b'GERARD TALARN CORTINA'],4 Banqueta,5.0,21.8,8.8,3.8,8.4,0.45,0.0,0.0,0.0,1.2,2.6,0.46,3.0,0.45,0.46,2.86,0.0,0.9,48.08,25.07,2.68
14,[b'GERARD TALARN CORTINA'],5 Dificil,4.0,22.5,9.5,4.0,8.75,0.46,0.0,0.0,0.0,1.5,3.0,0.5,3.0,0.46,0.47,4.29,0.0,0.91,49.25,25.61,3.17
14,[b'GERARD TALARN CORTINA'],5 Facil,1.0,19.0,6.0,3.0,7.0,0.43,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.43,0.4,0.0,0.0,0.86,40.54,22.5,0.7
16,[b'MARC NOGUERA MARQUEZ'],1 Mitjana,5.0,24.8,9.4,1.8,3.0,0.6,1.8,4.2,0.43,0.4,0.8,0.5,1.4,0.62,0.62,1.11,0.58,1.25,51.06,17.44,5.08
16,[b'MARC NOGUERA MARQUEZ'],2 Derrota,3.0,24.67,9.0,2.0,2.67,0.75,1.67,4.33,0.38,0.0,0.0,0.0,1.33,0.64,0.64,0.0,0.62,1.29,52.38,16.39,5.03
16,[b'MARC NOGUERA MARQUEZ'],2 Victoria,2.0,25.0,10.0,1.5,3.5,0.43,2.0,4.0,0.5,1.0,2.0,0.5,1.5,0.6,0.6,6.67,0.53,1.2,49.4,18.95,5.15
16,[b'MARC NOGUERA MARQUEZ'],3 Local,2.0,24.0,10.5,1.5,2.0,0.75,2.5,6.5,0.38,0.0,0.0,0.0,1.0,0.62,0.62,0.0,0.76,1.24,47.06,20.61,5.75
16,[b'MARC NOGUERA MARQUEZ'],3 Visitant,3.0,25.33,8.67,2.0,3.67,0.55,1.33,2.67,0.5,0.67,1.33,0.5,1.67,0.63,0.63,3.51,0.42,1.26,54.37,15.47,4.63
