Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
1,[b'MARIA CASTRO POZO'],1 Mitjana,7.0,6.14,2.0,0.86,1.57,0.55,0.0,0.0,0.0,0.29,0.57,0.5,1.86,0.55,0.55,2.6,0.0,1.09,57.14,16.5,0.39
1,[b'MARIA CASTRO POZO'],2 Derrota,5.0,7.4,2.4,1.0,1.8,0.56,0.0,0.0,0.0,0.4,0.8,0.5,2.2,0.56,0.56,4.44,0.0,1.11,58.49,16.42,0.5
1,[b'MARIA CASTRO POZO'],2 Victoria,2.0,3.0,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.0,1.0,50.0,17.86,0.1
1,[b'MARIA CASTRO POZO'],3 Local,4.0,5.0,1.75,0.75,1.0,0.75,0.0,0.0,0.0,0.25,0.5,0.5,1.5,0.75,0.72,6.25,0.0,1.5,75.0,13.41,0.65
1,[b'MARIA CASTRO POZO'],3 Visitant,3.0,7.67,2.33,1.0,2.33,0.43,0.0,0.0,0.0,0.33,0.67,0.5,2.33,0.43,0.44,4.76,0.0,0.86,46.15,19.36,0.03
1,[b'MARIA CASTRO POZO'],4 Banqueta,7.0,6.14,2.0,0.86,1.57,0.55,0.0,0.0,0.0,0.29,0.57,0.5,1.86,0.55,0.55,2.6,0.0,1.09,57.14,16.5,0.39
1,[b'MARIA CASTRO POZO'],5 Dificil,3.0,7.0,3.67,1.67,2.33,0.71,0.0,0.0,0.0,0.33,0.67,0.5,2.33,0.71,0.7,4.76,0.0,1.43,71.79,20.59,1.63
1,[b'MARIA CASTRO POZO'],5 Facil,4.0,5.5,0.75,0.25,1.0,0.25,0.0,0.0,0.0,0.25,0.5,0.5,1.5,0.25,0.31,6.25,0.0,0.5,33.33,12.47,-0.55
10,[b'ZOE IGLESIAS CHORD'],1 Mitjana,13.0,23.38,4.31,1.46,4.62,0.32,0.23,2.62,0.09,0.69,1.23,0.56,3.69,0.25,0.28,0.74,0.36,0.5,27.07,18.77,-1.77
10,[b'ZOE IGLESIAS CHORD'],2 Derrota,6.0,23.0,3.0,0.83,4.17,0.2,0.33,3.0,0.11,0.33,1.0,0.33,3.33,0.19,0.2,0.78,0.42,0.37,18.36,18.66,-3.15
10,[b'ZOE IGLESIAS CHORD'],2 Victoria,7.0,23.71,5.43,2.0,5.0,0.4,0.14,2.29,0.06,1.0,1.43,0.7,4.0,0.3,0.34,1.96,0.31,0.61,33.89,18.87,-0.59
10,[b'ZOE IGLESIAS CHORD'],3 Local,7.0,22.71,4.43,1.14,4.71,0.24,0.43,3.29,0.13,0.86,1.29,0.67,4.14,0.22,0.26,1.53,0.41,0.45,23.83,20.98,-2.37
10,[b'ZOE IGLESIAS CHORD'],3 Visitant,6.0,24.17,4.17,1.83,4.5,0.41,0.0,1.83,0.0,0.5,1.17,0.43,3.17,0.29,0.3,1.31,0.29,0.58,31.58,16.3,-1.07
10,[b'ZOE IGLESIAS CHORD'],4 Banqueta,13.0,23.38,4.31,1.46,4.62,0.32,0.23,2.62,0.09,0.69,1.23,0.56,3.69,0.25,0.28,0.74,0.36,0.5,27.07,18.77,-1.77
10,[b'ZOE IGLESIAS CHORD'],5 Dificil,7.0,23.14,4.0,1.14,4.0,0.29,0.29,2.43,0.12,0.86,1.86,0.46,4.0,0.24,0.28,1.9,0.38,0.49,27.28,17.7,-1.93
10,[b'ZOE IGLESIAS CHORD'],5 Facil,6.0,23.67,4.67,1.83,5.33,0.34,0.17,2.83,0.06,0.5,0.5,1.0,3.33,0.26,0.28,1.02,0.35,0.51,26.29,20.0,-1.58
11,[b'ESTHER RODELLAR BILBAO'],1 Mitjana,13.0,35.62,12.92,4.31,11.54,0.37,0.46,3.62,0.13,2.92,5.46,0.54,2.08,0.33,0.37,1.48,0.24,0.66,37.38,27.84,2.38
11,[b'ESTHER RODELLAR BILBAO'],2 Derrota,6.0,34.83,14.5,4.17,11.5,0.36,0.83,4.67,0.18,3.67,7.17,0.51,2.5,0.34,0.38,3.78,0.29,0.67,37.74,31.29,2.78
11,[b'ESTHER RODELLAR BILBAO'],2 Victoria,7.0,36.29,11.57,4.43,11.57,0.38,0.14,2.71,0.05,2.29,4.0,0.57,1.71,0.33,0.36,2.29,0.19,0.65,37.0,25.0,2.03
11,[b'ESTHER RODELLAR BILBAO'],3 Local,7.0,35.0,12.86,4.43,12.14,0.36,0.43,2.86,0.15,2.71,4.57,0.59,1.57,0.34,0.38,2.59,0.19,0.68,37.94,27.04,2.93
11,[b'ESTHER RODELLAR BILBAO'],3 Visitant,6.0,36.33,13.0,4.17,10.83,0.38,0.5,4.5,0.11,3.17,6.5,0.49,2.67,0.32,0.36,3.44,0.29,0.64,36.71,28.8,1.73
11,[b'ESTHER RODELLAR BILBAO'],4 Banqueta,13.0,35.62,12.92,4.31,11.54,0.37,0.46,3.62,0.13,2.92,5.46,0.54,2.08,0.33,0.37,1.48,0.24,0.66,37.38,27.84,2.38
11,[b'ESTHER RODELLAR BILBAO'],5 Dificil,7.0,35.71,13.86,4.14,10.57,0.39,0.71,4.29,0.17,3.43,7.14,0.48,1.71,0.35,0.38,3.3,0.29,0.7,39.19,28.49,3.23
11,[b'ESTHER RODELLAR BILBAO'],5 Facil,6.0,35.5,11.83,4.5,12.67,0.36,0.17,2.83,0.06,2.33,3.5,0.67,2.5,0.31,0.35,2.51,0.18,0.61,34.98,27.09,1.38
12,[b'IRENE ASENSIO MAOSA'],1 Mitjana,13.0,25.62,7.54,1.0,3.0,0.33,1.46,5.77,0.25,1.15,1.85,0.62,3.08,0.36,0.39,1.01,0.66,0.73,32.56,21.13,0.88
12,[b'IRENE ASENSIO MAOSA'],2 Derrota,6.0,27.17,7.33,1.0,3.83,0.26,1.5,6.5,0.23,0.83,1.33,0.62,2.67,0.31,0.34,1.34,0.63,0.63,27.22,22.67,-0.17
12,[b'IRENE ASENSIO MAOSA'],2 Victoria,7.0,24.29,7.71,1.0,2.29,0.44,1.43,5.14,0.28,1.43,2.29,0.62,3.43,0.42,0.46,2.75,0.69,0.85,38.53,19.64,1.77
12,[b'IRENE ASENSIO MAOSA'],3 Local,7.0,26.0,8.57,1.29,3.43,0.38,1.43,5.86,0.24,1.71,2.57,0.67,3.29,0.37,0.41,2.64,0.63,0.74,35.18,22.29,1.5
12,[b'IRENE ASENSIO MAOSA'],3 Visitant,6.0,25.17,6.33,0.67,2.5,0.27,1.5,5.67,0.26,0.5,1.0,0.5,2.83,0.36,0.37,1.02,0.69,0.71,28.79,19.67,0.15
12,[b'IRENE ASENSIO MAOSA'],4 Banqueta,13.0,25.62,7.54,1.0,3.0,0.33,1.46,5.77,0.25,1.15,1.85,0.62,3.08,0.36,0.39,1.01,0.66,0.73,32.56,21.13,0.88
12,[b'IRENE ASENSIO MAOSA'],5 Dificil,7.0,25.71,7.43,0.71,2.57,0.28,1.57,6.14,0.26,1.29,2.29,0.56,3.86,0.35,0.38,2.11,0.7,0.7,31.42,21.36,0.3
12,[b'IRENE ASENSIO MAOSA'],5 Facil,6.0,25.5,7.67,1.33,3.5,0.38,1.33,5.33,0.25,1.0,1.33,0.75,2.17,0.38,0.41,1.89,0.6,0.75,33.81,20.85,1.55
13,[b'EMMA PIQUE HERNANDEZ'],1 Mitjana,7.0,4.86,0.57,0.0,0.57,0.0,0.0,0.14,0.0,0.57,1.0,0.57,0.43,0.0,0.25,11.43,0.2,0.0,29.3,13.38,-0.27
13,[b'EMMA PIQUE HERNANDEZ'],2 Derrota,3.0,5.33,0.67,0.0,1.33,0.0,0.0,0.33,0.0,0.67,1.33,0.5,0.33,0.0,0.15,13.33,0.2,0.0,18.18,24.01,-0.9
13,[b'EMMA PIQUE HERNANDEZ'],2 Victoria,4.0,4.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.75,0.67,0.5,0.0,0.76,0.0,0.0,0.0,88.89,4.1,0.2
13,[b'EMMA PIQUE HERNANDEZ'],3 Local,4.0,4.75,0.5,0.0,0.5,0.0,0.0,0.25,0.0,0.5,0.75,0.67,0.5,0.0,0.23,16.67,0.33,0.0,25.4,12.37,-0.33
13,[b'EMMA PIQUE HERNANDEZ'],3 Visitant,3.0,5.0,0.67,0.0,0.67,0.0,0.0,0.0,0.0,0.67,1.33,0.5,0.33,0.0,0.27,33.33,0.0,0.0,33.33,14.81,-0.2
13,[b'EMMA PIQUE HERNANDEZ'],4 Banqueta,7.0,4.86,0.57,0.0,0.57,0.0,0.0,0.14,0.0,0.57,1.0,0.57,0.43,0.0,0.25,11.43,0.2,0.0,29.3,13.38,-0.27
13,[b'PAULA PIQUE HERNANDEZ'],5 Dificil,5.0,13.4,2.6,0.8,1.6,0.5,0.2,1.0,0.2,0.4,0.4,1.0,0.2,0.42,0.47,3.08,0.38,0.85,42.03,11.85,1.1
13,[b'EMMA PIQUE HERNANDEZ'],5 Dificil,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2
13,[b'EMMA PIQUE HERNANDEZ'],5 Facil,5.0,5.6,0.8,0.0,0.8,0.0,0.0,0.2,0.0,0.8,1.4,0.57,0.4,0.0,0.25,16.0,0.2,0.0,29.3,16.16,-0.3
14,[b'AMINATA MAMOUDOU HERNNDEZ'],1 Mitjana,13.0,31.85,10.08,3.69,7.15,0.52,0.0,0.0,0.0,2.69,4.0,0.67,3.31,0.52,0.57,2.89,0.0,1.03,58.5,15.81,4.7
14,[b'AMINATA MAMOUDOU HERNNDEZ'],2 Derrota,6.0,30.0,5.5,1.83,5.83,0.31,0.0,0.0,0.0,1.83,2.5,0.73,3.33,0.31,0.4,5.24,0.0,0.63,40.42,13.04,0.55
14,[b'AMINATA MAMOUDOU HERNNDEZ'],2 Victoria,7.0,33.43,14.0,5.29,8.29,0.64,0.0,0.0,0.0,3.43,5.29,0.65,3.29,0.64,0.66,5.91,0.0,1.28,68.64,17.95,8.26
14,[b'AMINATA MAMOUDOU HERNNDEZ'],3 Local,7.0,33.71,8.71,3.43,7.43,0.46,0.0,0.0,0.0,1.86,2.86,0.65,3.43,0.46,0.5,3.57,0.0,0.92,51.7,14.33,3.11
14,[b'AMINATA MAMOUDOU HERNNDEZ'],3 Visitant,6.0,29.67,11.67,4.0,6.83,0.59,0.0,0.0,0.0,3.67,5.33,0.69,3.17,0.59,0.64,8.94,0.0,1.17,66.08,17.8,6.55
14,[b'AMINATA MAMOUDOU HERNNDEZ'],4 Banqueta,13.0,31.85,10.08,3.69,7.15,0.52,0.0,0.0,0.0,2.69,4.0,0.67,3.31,0.52,0.57,2.89,0.0,1.03,58.5,15.81,4.7
