Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
1,[b'HERSON MIGUEL LORENZO CRUZ'],1 Mitjana,5.0,23.0,9.2,2.6,6.2,0.42,0.8,3.0,0.27,1.6,2.4,0.67,1.8,0.41,0.45,3.48,0.33,0.83,41.86,26.98,3.08
1,[b'HERSON MIGUEL LORENZO CRUZ'],2 Derrota,3.0,24.0,10.67,3.0,7.0,0.43,1.0,2.67,0.38,1.67,2.67,0.62,1.33,0.47,0.49,5.75,0.28,0.93,45.81,27.94,4.57
1,[b'HERSON MIGUEL LORENZO CRUZ'],2 Victoria,2.0,21.5,7.0,2.0,5.0,0.4,0.5,3.5,0.14,1.5,2.0,0.75,2.5,0.32,0.37,8.82,0.41,0.65,34.95,25.6,0.85
1,[b'HERSON MIGUEL LORENZO CRUZ'],3 Local,2.0,17.5,6.0,3.0,5.5,0.55,0.0,2.0,0.0,0.0,0.0,0.0,1.5,0.4,0.4,0.0,0.27,0.8,40.0,24.78,1.35
1,[b'HERSON MIGUEL LORENZO CRUZ'],3 Visitant,3.0,26.67,11.33,2.33,6.67,0.35,1.33,3.67,0.36,2.67,4.0,0.67,2.0,0.42,0.47,8.6,0.35,0.84,42.64,28.37,4.23
1,[b'HERSON MIGUEL LORENZO CRUZ'],4 Banqueta,5.0,23.0,9.2,2.6,6.2,0.42,0.8,3.0,0.27,1.6,2.4,0.67,1.8,0.41,0.45,3.48,0.33,0.83,41.86,26.98,3.08
1,[b'HERSON MIGUEL LORENZO CRUZ'],5 Dificil,4.0,21.25,8.5,2.25,5.5,0.41,0.75,3.25,0.23,1.75,2.5,0.7,2.25,0.39,0.43,5.0,0.37,0.77,40.1,27.13,2.38
1,[b'HERSON MIGUEL LORENZO CRUZ'],5 Facil,1.0,30.0,12.0,4.0,9.0,0.44,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.5,0.51,9.09,0.18,1.0,47.46,27.81,5.9
10,[b'SERGI MARTIN FUENTES'],1 Mitjana,5.0,14.0,2.8,1.2,2.8,0.43,0.0,0.2,0.0,0.4,1.6,0.25,1.4,0.4,0.38,2.67,0.07,0.8,40.66,16.01,0.14
10,[b'SERGI MARTIN FUENTES'],2 Derrota,3.0,15.0,3.67,1.67,3.33,0.5,0.0,0.33,0.0,0.33,1.33,0.25,1.67,0.45,0.43,3.03,0.09,0.91,45.24,17.54,0.7
