Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
00,[b'ANNA ESPIGOL AYATS'],1 Mitjana,9.0,17.78,2.22,0.89,2.89,0.31,0.0,0.0,0.0,0.44,0.89,0.5,1.11,0.31,0.34,1.71,0.0,0.62,35.62,10.37,-0.07
00,[b'ANNA ESPIGOL AYATS'],2 Victoria,9.0,17.78,2.22,0.89,2.89,0.31,0.0,0.0,0.0,0.44,0.89,0.5,1.11,0.31,0.34,1.71,0.0,0.62,35.62,10.37,-0.07
00,[b'ANNA ESPIGOL AYATS'],3 Local,5.0,17.2,1.8,0.8,3.0,0.27,0.0,0.0,0.0,0.2,0.8,0.25,1.0,0.27,0.27,1.33,0.0,0.53,28.31,11.24,-0.62
00,[b'ANNA ESPIGOL AYATS'],3 Visitant,4.0,18.5,2.75,1.0,2.75,0.36,0.0,0.0,0.0,0.75,1.0,0.75,1.25,0.36,0.43,6.82,0.0,0.73,43.65,9.39,0.62
00,[b'ANNA ESPIGOL AYATS'],4 Banqueta,9.0,17.78,2.22,0.89,2.89,0.31,0.0,0.0,0.0,0.44,0.89,0.5,1.11,0.31,0.34,1.71,0.0,0.62,35.62,10.37,-0.07
00,[b'ANNA ESPIGOL AYATS'],5 Dificil,4.0,15.75,1.0,0.5,2.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.75,0.25,0.23,0.0,0.0,0.5,22.73,8.17,-0.7
00,[b'ANNA ESPIGOL AYATS'],5 Facil,5.0,19.4,3.2,1.2,3.6,0.33,0.0,0.0,0.0,0.8,1.2,0.67,1.4,0.33,0.39,4.44,0.0,0.67,39.87,11.67,0.44
10,[b'KENDALL MARTIN OGBEIFUN'],1 Mitjana,9.0,21.11,11.67,4.0,9.11,0.44,0.11,1.0,0.11,3.33,4.89,0.68,1.44,0.41,0.48,3.66,0.1,0.82,48.64,32.64,5.03
10,[b'KENDALL MARTIN OGBEIFUN'],2 Victoria,9.0,21.11,11.67,4.0,9.11,0.44,0.11,1.0,0.11,3.33,4.89,0.68,1.44,0.41,0.48,3.66,0.1,0.82,48.64,32.64,5.03
10,[b'KENDALL MARTIN OGBEIFUN'],3 Local,5.0,21.4,11.4,4.2,9.2,0.46,0.2,1.4,0.14,2.4,3.6,0.67,1.6,0.42,0.47,4.53,0.13,0.85,47.18,32.83,4.62
10,[b'KENDALL MARTIN OGBEIFUN'],3 Visitant,4.0,20.75,12.0,3.75,9.0,0.42,0.0,0.5,0.0,4.5,6.5,0.69,1.25,0.39,0.49,11.84,0.05,0.79,50.45,32.45,5.55
10,[b'KENDALL MARTIN OGBEIFUN'],4 Banqueta,9.0,21.11,11.67,4.0,9.11,0.44,0.11,1.0,0.11,3.33,4.89,0.68,1.44,0.41,0.48,3.66,0.1,0.82,48.64,32.64,5.03
10,[b'KENDALL MARTIN OGBEIFUN'],5 Dificil,4.0,19.25,9.75,3.25,6.75,0.48,0.25,1.5,0.17,2.5,3.5,0.71,2.0,0.44,0.5,7.58,0.18,0.88,49.59,29.49,4.17
10,[b'KENDALL MARTIN OGBEIFUN'],5 Facil,5.0,22.6,13.2,4.6,11.0,0.42,0.0,0.6,0.0,4.0,6.0,0.67,1.0,0.4,0.46,6.9,0.05,0.79,48.1,34.56,5.72
11,[b'MARIA MASSEGUR LLOVERAS'],1 Mitjana,8.0,6.88,1.0,0.38,1.25,0.3,0.0,0.38,0.0,0.25,0.38,0.67,0.62,0.23,0.28,1.92,0.23,0.46,28.64,14.64,-0.29
