Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
00,[b'ROGER PUIG SALTOR'],1 Mitjana,15.0,9.33,1.73,0.13,1.47,0.09,0.13,1.53,0.09,1.07,1.6,0.67,0.73,0.11,0.23,2.37,0.51,0.22,22.95,23.5,-0.77
00,[b'ROGER PUIG SALTOR'],2 Derrota,8.0,10.25,1.62,0.12,1.5,0.08,0.25,1.75,0.14,0.62,1.25,0.5,1.0,0.15,0.21,2.4,0.54,0.31,20.0,22.26,-1.15
00,[b'ROGER PUIG SALTOR'],2 Victoria,7.0,8.29,1.86,0.14,1.43,0.1,0.0,1.29,0.0,1.57,2.0,0.79,0.43,0.05,0.26,8.27,0.47,0.11,25.78,25.27,-0.33
00,[b'ROGER PUIG SALTOR'],3 Local,8.0,8.62,1.25,0.0,1.25,0.0,0.12,1.62,0.08,0.88,1.5,0.58,0.75,0.07,0.18,3.8,0.57,0.13,17.87,24.37,-1.26
00,[b'ROGER PUIG SALTOR'],3 Visitant,7.0,10.14,2.29,0.29,1.71,0.17,0.14,1.43,0.1,1.29,1.71,0.75,0.71,0.16,0.29,5.84,0.45,0.32,27.99,22.64,-0.2
00,[b'ROGER PUIG SALTOR'],4 Banqueta,15.0,9.33,1.73,0.13,1.47,0.09,0.13,1.53,0.09,1.07,1.6,0.67,0.73,0.11,0.23,2.37,0.51,0.22,22.95,23.5,-0.77
00,[b'ROGER PUIG SALTOR'],5 Dificil,9.0,9.22,1.56,0.11,1.44,0.08,0.11,1.78,0.06,1.0,1.78,0.56,0.67,0.09,0.19,3.45,0.55,0.17,20.27,25.51,-1.19
00,[b'ROGER PUIG SALTOR'],5 Facil,6.0,9.5,2.0,0.17,1.5,0.11,0.17,1.17,0.14,1.17,1.33,0.88,0.83,0.16,0.31,7.29,0.44,0.31,26.82,20.51,-0.13
00,[b'ROGER PUIG SALTOR'],7 Ultims 3,3.0,12.0,2.33,0.33,2.0,0.17,0.33,2.0,0.17,0.67,1.33,0.5,1.0,0.21,0.25,5.56,0.5,0.42,23.53,22.3,-0.87
1,[b'MEDIR TENA PEREZ'],2 Derrota,12.0,19.08,4.58,1.83,5.25,0.35,0.0,0.17,0.0,0.92,1.25,0.73,1.58,0.34,0.38,1.41,0.03,0.68,38.84,18.6,0.76
