Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
10,[b'ALEX RIERA PERETO'],1 Mitjana,12.0,20.67,11.83,3.25,7.17,0.45,0.92,3.08,0.3,2.58,4.25,0.61,1.58,0.45,0.49,2.1,0.3,0.9,46.91,30.31,5.02
10,[b'ALEX RIERA PERETO'],2 Derrota,5.0,24.0,12.2,3.2,7.2,0.44,0.8,3.6,0.22,3.4,4.6,0.74,2.0,0.41,0.48,6.3,0.33,0.81,45.21,28.04,4.96
10,[b'ALEX RIERA PERETO'],2 Victoria,7.0,18.29,11.57,3.29,7.14,0.46,1.0,2.71,0.37,2.0,4.0,0.5,1.29,0.49,0.5,2.9,0.28,0.97,47.88,32.49,5.07
10,[b'ALEX RIERA PERETO'],3 Local,6.0,21.33,12.33,3.83,8.17,0.47,0.83,3.0,0.28,2.17,3.83,0.57,1.67,0.46,0.48,3.23,0.27,0.91,46.54,29.71,5.05
10,[b'ALEX RIERA PERETO'],3 Visitant,6.0,20.0,11.33,2.67,6.17,0.43,1.0,3.17,0.32,3.0,4.67,0.64,1.5,0.45,0.5,5.36,0.34,0.89,47.28,30.91,5.0
10,[b'ALEX RIERA PERETO'],4 Banqueta,12.0,20.67,11.83,3.25,7.17,0.45,0.92,3.08,0.3,2.58,4.25,0.61,1.58,0.45,0.49,2.1,0.3,0.9,46.91,30.31,5.02
10,[b'ALEX RIERA PERETO'],5 Dificil,8.0,20.62,11.0,3.12,6.88,0.45,0.75,3.25,0.23,2.5,4.38,0.57,1.25,0.42,0.46,3.09,0.32,0.84,44.66,30.2,4.21
10,[b'ALEX RIERA PERETO'],5 Facil,4.0,20.75,13.5,3.5,7.75,0.45,1.25,2.75,0.45,2.75,4.0,0.69,2.25,0.51,0.55,6.55,0.26,1.02,51.19,30.53,6.65
10,[b'ALEX RIERA PERETO'],6 Equips Cua,2.0,22.5,12.0,1.5,6.0,0.25,1.5,5.0,0.3,4.5,6.5,0.69,0.5,0.34,0.43,20.45,0.45,0.68,39.37,33.3,4.5
10,[b'ALEX RIERA PERETO'],6 Equips Top,2.0,22.5,12.0,1.5,6.0,0.25,1.5,5.0,0.3,4.5,6.5,0.69,0.5,0.34,0.43,20.45,0.45,0.68,39.37,33.3,4.5
11,[b'ENRIC MANZANO ALBADALEJO'],1 Mitjana,12.0,20.33,10.0,2.08,4.67,0.45,1.17,3.25,0.36,2.33,3.58,0.65,1.75,0.48,0.53,2.46,0.41,0.97,48.22,24.13,4.56
11,[b'ENRIC MANZANO ALBADALEJO'],2 Derrota,5.0,19.6,6.0,1.4,3.8,0.37,0.4,2.4,0.17,2.0,3.4,0.59,1.6,0.32,0.39,6.45,0.39,0.65,38.75,20.6,1.18
11,[b'ENRIC MANZANO ALBADALEJO'],2 Victoria,7.0,20.86,12.86,2.57,5.29,0.49,1.71,3.86,0.44,2.57,3.71,0.69,1.86,0.56,0.6,4.02,0.42,1.12,52.98,26.42,6.97
11,[b'ENRIC MANZANO ALBADALEJO'],3 Local,6.0,20.17,10.0,2.67,5.33,0.5,0.83,3.0,0.28,2.17,3.33,0.65,1.67,0.47,0.51,4.33,0.36,0.94,48.31,23.97,4.43
11,[b'ENRIC MANZANO ALBADALEJO'],3 Visitant,6.0,20.5,10.0,1.5,4.0,0.38,1.5,3.5,0.43,2.5,3.83,0.65,1.83,0.5,0.54,5.55,0.47,1.0,48.13,24.33,4.68
11,[b'ENRIC MANZANO ALBADALEJO'],4 Banqueta,12.0,20.33,10.0,2.08,4.67,0.45,1.17,3.25,0.36,2.33,3.58,0.65,1.75,0.48,0.53,2.46,0.41,0.97,48.22,24.13,4.56
11,[b'ENRIC MANZANO ALBADALEJO'],5 Dificil,8.0,20.75,9.88,2.12,4.88,0.44,1.12,3.0,0.38,2.25,3.5,0.64,1.88,0.48,0.52,3.57,0.38,0.97,48.21,23.45,4.41
11,[b'ENRIC MANZANO ALBADALEJO'],5 Facil,4.0,19.5,10.25,2.0,4.25,0.47,1.25,3.75,0.33,2.5,3.75,0.67,1.5,0.48,0.53,7.81,0.47,0.97,48.25,25.57,4.85
11,[b'ENRIC MANZANO ALBADALEJO'],6 Equips Cua,2.0,21.5,8.5,1.5,4.0,0.38,1.0,3.0,0.33,2.5,3.5,0.71,2.5,0.43,0.5,17.86,0.43,0.86,45.07,21.47,3.2
11,[b'ENRIC MANZANO ALBADALEJO'],6 Equips Top,2.0,21.5,8.5,1.5,4.0,0.38,1.0,3.0,0.33,2.5,3.5,0.71,2.5,0.43,0.5,17.86,0.43,0.86,45.07,21.47,3.2
