Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
1,[b'ERIC MANZANARES IZQUIERDO'],1 Mitjana,2.0,5.5,2.5,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.62,0.56,0.0,0.5,1.25,45.45,22.96,1.1
1,[b'ERIC MANZANARES IZQUIERDO'],2 Victoria,2.0,5.5,2.5,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.62,0.56,0.0,0.5,1.25,45.45,22.96,1.1
1,[b'ERIC MANZANARES IZQUIERDO'],3 Local,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,[b'ERIC MANZANARES IZQUIERDO'],3 Visitant,1.0,11.0,5.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,1.0,0.0,1.0,0.62,0.56,0.0,0.5,1.25,45.45,22.55,2.2
1,[b'ERIC MANZANARES IZQUIERDO'],4 Banqueta,2.0,5.5,2.5,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.62,0.56,0.0,0.5,1.25,45.45,22.96,1.1
1,[b'ERIC MANZANARES IZQUIERDO'],5 Dificil,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,[b'ERIC MANZANARES IZQUIERDO'],5 Facil,1.0,11.0,5.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,1.0,0.0,1.0,0.62,0.56,0.0,0.5,1.25,45.45,22.55,2.2
1,[b'ERIC MANZANARES IZQUIERDO'],7 Ultims 3,2.0,5.5,2.5,0.5,1.0,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.62,0.56,0.0,0.5,1.25,45.45,22.96,1.1
10,[b'FERRAN BELMONTE CABALLOL'],1 Mitjana,2.0,13.5,2.5,1.0,4.0,0.25,0.0,0.0,0.0,0.5,2.0,0.25,3.0,0.25,0.26,6.25,0.0,0.5,28.12,20.56,-1.7
10,[b'FERRAN BELMONTE CABALLOL'],2 Victoria,2.0,13.5,2.5,1.0,4.0,0.25,0.0,0.0,0.0,0.5,2.0,0.25,3.0,0.25,0.26,6.25,0.0,0.5,28.12,20.56,-1.7
